Entry	Interacts with	Cross-reference (STRING)
P53292		4932.YGR165W;
P40054	P40510	4932.YER081W;
P06105		4932.YJL080C;
P40075	Q00402; P21957; P38713; Q07657; P39523	4932.YER120W;
P43544		4932.YFL060C;
Q08204	P38632; P40562; Q07913; Q05541; P43124; Q03718; Q12306	4932.YOL034W;
Q02260		4932.YGR074W;
P40548		4932.YIL016W;
Q08491	P53859; P17883; Q02793; Q92900	4932.YOR076C;
P17883	P35207; Q08491; Q02793	4932.YPR189W;
Q08581		4932.YOR195W;
P53965	P50946; P53949	4932.YNL032W;
P53266	P40452	4932.YGR112W;
P38871	Q07732	4932.YHR184W;
Q12516		4932.YDL133W;
Q12286		4932.YPR009W;
P32591	P53330; P22082; P18888	4932.YJL176C;
Q05021	P35817	4932.YMR227C;
Q12199	P43612	4932.YPR040W;
P47988		4932.YOR337W;
Q12009	Q03774	4932.YDL201W;
P80967	P25574; P47133; P40540	4932.YPR133W-A;
P49334	P53969; P53220; P35180; P23644; Q07812	4932.YNL131W;
Q03660	P32613; P38334; P32893	4932.YMR218C;
P00942		4932.YDR050C;
P0CX33		4932.YOR182C;
Q05043		4932.YMR030W;
P38990	Q00684	4932.YER129W;
P38352	P53909; Q12018; Q08273; P52286	4932.YBR280C;
P40856	P20604	4932.YJL098W;
P40963	P32447; Q12495; Q04003	4932.YMR127C;
Q03799		4932.YMR158W;
P51534	P19524; P32492; Itself	4932.YOR035C;
P38272	P32492; P36068	4932.YBR130C;
P53009		4932.YGL083W;
Q9ZZX1		4932.Q0070;
P36048	P32357; P32639	4932.YKL173W;
Q02100		4932.YNL167C;
Q12098	P47027; P06777; P38850; P38324	4932.YLR135W;
P18888	P32628; P14736; P38956; P32591; P35189	4932.YHL025W;
P38925		4932.YOL122C;
P25582	P43586; Q07896; Q12080; P36160	4932.YCL054W;
P39932		4932.YDR536W;
P36085		4932.YKL072W;
P32944	Q00684; P32562; P38274; P13185	4932.YJL187C;
Q06707		4932.YLR385C;
P50105	P46677; Q03761; P38129; Q05027	4932.YMR005W;
P43534	P39940	4932.YFL058W;
P53038		4932.YGR099W;
P25372		4932.YCR083W;
P25576		4932.YCL047C;
Q12488	Q01454; P30665; P40359; Q03406	4932.YDR013W;
Q12211		4932.YPL212C;
Q06108		4932.YPR115W;
P0C2H6		4932.YHR010W;
P36531		4932.YBR122C;
Q06678		4932.YDR322W;
P32338		4932.YGR044C;
P0CX86		4932.YDL184C;
P04051	P41910; P35718	4932.YOR116C;
P40541	Q12158; P32908; P47037	4932.YIL026C;
Q04964	P21524	4932.YML058W;
P32915	Q05787; P46964; Q99380; P00729; P21825; P33754; P35179; P39007; Q02795; P33767	4932.YLR378C;
P25808		4932.YFL002C;
P53852		4932.YNL247W;
Q12004		4932.YPR056W;
Q3E790		4932.YBR058C-A;
P18562	P27515	4932.YHR128W;
P39538		4932.YJL197W;
P32861	P31374; Q08217	4932.YKL035W;
P21538		4932.YBR049C;
P32327		4932.YBR218C;
P38623	P32485	4932.YLR248W;
P38339	Itself	4932.YBR260C;
P03871	Itself; P03872	
P40348	P49956; P38877; Q12050; P32641; P38629	4932.YJR068W;
Q12504		4932.YDR257C;
P32611		4932.YEL050C;
P05739		4932.YLR448W;
P08518	P22139; P16370; P20434; P07703; P04050; P41896	4932.YOR151C;
P45818	P38713; P53254	4932.YGL171W;
Q02555	Q00416	4932.YMR239C;
P25381		4932.YCR045C;
Q08162	P38792; Q08285; P53256; P46948	4932.YOL021C;
P34226		4932.YBL061C;
P52286	Q06150; P07834; Q12018; P35203; P47005; Q08496; P32324; P24814; Q12347; Q05930; P39014; P47104; P39531; Q04847; P38352; Q08446; P42843; P47822; Q05947; Q04511; Q03899; Q06640; Q06479	4932.YDR328C;
P18480	P35189	4932.YBR289W;
P41808	P02829	4932.YPR054W;
P38282		4932.YBR152W;
P37262		4932.YCR073W-A;
P54867		4932.YOR008C;
Q07084	P53599; P25390; Q07688	4932.YLR006C;
P53032		4932.YGL162W;
P38123	P39706	4932.YBR175W;
Q6WNK7	P06704; P46674; Q03067	4932.YBR111W-A;
P38088		4932.YBR121C;
P39078		4932.YDL143W;
P38129	Q12060; P23255; P50105; Itself; P53040	4932.YBR198C;
Q08921	P25293; P35169	4932.YPL180W;
P57744	P53299	4932.YJR135W-A;
Q02863		4932.YPL072W;
P04840		4932.YNL055C;
